Algoritm,Fisier,Timp (s),Memorie (KB);Algoritm;Fisier;Timp (s);Memorie (KB)
BubbleSort,negative_large_dup.txt,109.2123487,78.4;BubbleSort;negative_large_dup.txt;109,21234870;78,40
InsertionSort,negative_large_dup.txt,41.0923435,78.28;InsertionSort;negative_large_dup.txt;41,09234350;78,28
QuickSort,negative_large_dup.txt,0.1861415,80.33;QuickSort;negative_large_dup.txt;0,18614150;80,33
BubbleSort,negative_large_nodup.txt,108.9819091,78.4;BubbleSort;negative_large_nodup.txt;108,98190910;78,40
InsertionSort,negative_large_nodup.txt,40.6407822,78.28;InsertionSort;negative_large_nodup.txt;40,64078220;78,28
QuickSort,negative_large_nodup.txt,0.2071557,80.52;QuickSort;negative_large_nodup.txt;0,20715570;80,52
BubbleSort,negative_medium_dup.txt,0.7395006,8.11;BubbleSort;negative_medium_dup.txt;0,73950060;8,11
InsertionSort,negative_medium_dup.txt,0.3186552,7.96;InsertionSort;negative_medium_dup.txt;0,31865520;7,96
QuickSort,negative_medium_dup.txt,0.0116431,9.53;QuickSort;negative_medium_dup.txt;0,01164310;9,59
BubbleSort,negative_medium_nodup.txt,0.7370746,8.09;BubbleSort;negative_medium_nodup.txt;0,73707460;8,09
InsertionSort,negative_medium_nodup.txt,0.3137423,7.96;InsertionSort;negative_medium_nodup.txt;0,31374230;7,96
QuickSort,negative_medium_nodup.txt,0.0123894,9.59;QuickSort;negative_medium_nodup.txt;0,01238940;9,59
BubbleSort,negative_small_dup.txt,0.0004583,0.89;BubbleSort;negative_small_dup.txt;0,00045830;0,89
InsertionSort,negative_small_dup.txt,0.000136,0.86;InsertionSort;negative_small_dup.txt;0,00013600;0,86
QuickSort,negative_small_dup.txt,0.0001484,1.23;QuickSort;negative_small_dup.txt;0,00014840;1,23
BubbleSort,negative_small_nodup.txt,0.0004357,0.89;BubbleSort;negative_small_nodup.txt;0,00043570;0,89
InsertionSort,negative_small_nodup.txt,0.0001143,0.86;InsertionSort;negative_small_nodup.txt;0,00011430;0,86
QuickSort,negative_small_nodup.txt,0.0001639,1.23;QuickSort;negative_small_nodup.txt;0,00016390;1,23
BubbleSort,positive_large_dup.txt,111.2659191,78.4;BubbleSort;positive_large_dup.txt;111,26591910;78,40
InsertionSort,positive_large_dup.txt,41.3875977,78.28;InsertionSort;positive_large_dup.txt;41,38759770;78,28
QuickSort,positive_large_dup.txt,0.2083976,80.53;QuickSort;positive_large_dup.txt;0,20839760;80,53
BubbleSort,positive_large_nodup.txt,110.6062874,78.4;BubbleSort;positive_large_nodup.txt;110,60628740;78,40
InsertionSort,positive_large_nodup.txt,40.8905967,78.28;InsertionSort;positive_large_nodup.txt;40,89059670;78,28
QuickSort,positive_large_nodup.txt,0.2024512,80.53;QuickSort;positive_large_nodup.txt;0,20245120;80,53
BubbleSort,positive_medium_dup.txt,0.7530976,8.09;BubbleSort;positive_medium_dup.txt;0,75309760;8,09
InsertionSort,positive_medium_dup.txt,0.3247325,7.96;InsertionSort;positive_medium_dup.txt;0,32473250;7,96
QuickSort,positive_medium_dup.txt,0.0112438,9.41;QuickSort;positive_medium_dup.txt;0,01124380;9,41
BubbleSort,positive_medium_nodup.txt,0.7603026,8.09;BubbleSort;positive_medium_nodup.txt;0,76030260;8,09
InsertionSort,positive_medium_nodup.txt,0.3281763,7.96;InsertionSort;positive_medium_nodup.txt;0,32817630;7,96
QuickSort,positive_medium_nodup.txt,0.0115649,9.53;QuickSort;positive_medium_nodup.txt;0,01156490;9,53
BubbleSort,positive_small_dup.txt,0.0004402,0.89;BubbleSort;positive_small_dup.txt;0,00044020;0,89
InsertionSort,positive_small_dup.txt,0.0001169,0.86;InsertionSort;positive_small_dup.txt;0,00011690;0,86
QuickSort,positive_small_dup.txt,0.0001518,1.23;QuickSort;positive_small_dup.txt;0,00015180;1,23
BubbleSort,positive_small_nodup.txt,0.000448,0.89;BubbleSort;positive_small_nodup.txt;0,00044800;0,89
InsertionSort,positive_small_nodup.txt,0.0001247,0.86;InsertionSort;positive_small_nodup.txt;0,00012470;0,86
QuickSort,positive_small_nodup.txt,0.0001531,1.23;QuickSort;positive_small_nodup.txt;0,00015310;1,23
BubbleSort,string_large_dup.txt,114.8281326,78.4;BubbleSort;string_large_dup.txt;114,82813260;78,40
InsertionSort,string_large_dup.txt,41.9655891,78.28;InsertionSort;string_large_dup.txt;41,96558910;78,28
QuickSort,string_large_dup.txt,0.2081545,80.58;QuickSort;string_large_dup.txt;0,20815450;80,58
BubbleSort,string_large_nodup.txt,112.7520261,78.4;BubbleSort;string_large_nodup.txt;112,75202610;78,40
InsertionSort,string_large_nodup.txt,41.4106802,78.28;InsertionSort;string_large_nodup.txt;41,41068020;78,28
QuickSort,string_large_nodup.txt,0.2060773,80.66;QuickSort;string_large_nodup.txt;0,20607730;80,66
BubbleSort,string_medium_dup.txt,0.7515645,8.09;BubbleSort;string_medium_dup.txt;0,75156450;8,09
InsertionSort,string_medium_dup.txt,0.3145339,7.96;InsertionSort;string_medium_dup.txt;0,31453390;7,96
QuickSort,string_medium_dup.txt,0.0113646,9.44;QuickSort;string_medium_dup.txt;0,01136460;9,44
BubbleSort,string_medium_nodup.txt,0.757218,8.09;BubbleSort;string_medium_nodup.txt;0,75721800;8,09
InsertionSort,string_medium_nodup.txt,0.3233683,7.96;InsertionSort;string_medium_nodup.txt;0,32336830;7,96
QuickSort,string_medium_nodup.txt,0.0118501,9.59;QuickSort;string_medium_nodup.txt;0,01185010;9,59
BubbleSort,string_small_dup.txt,0.0005111,0.89;BubbleSort;string_small_dup.txt;0,00051110;0,89
InsertionSort,string_small_dup.txt,0.0001566,0.86;InsertionSort;string_small_dup.txt;0,00015660;0,86
QuickSort,string_small_dup.txt,0.0001679,1.23;QuickSort;string_small_dup.txt;0,00016790;1,23
BubbleSort,string_small_nodup.txt,0.0005242,0.89;BubbleSort;string_small_nodup.txt;0,00052420;0,89
InsertionSort,string_small_nodup.txt,0.0001917,0.86;InsertionSort;string_small_nodup.txt;0,00019170;0,86
QuickSort,string_small_nodup.txt,0.0001639,1.23;QuickSort;string_small_nodup.txt;0,00016390;1,23
